27.86   27.97
31.86   25.61
19.22   25.41
28.86   28.32
27.18   23.32
22.16   26.46
24.86   26.75
27.26   24.49
37.25   25.45
34.75   22.56
22.03   22.60
35.57   25.22
28.44   26.51
26.01   30.41
28.41   23.61
25.57   25.39
25.82   24.83
30.80   20.96
30.55   24.08
30.58   21.25
28.27   26.76
22.47   23.14
28.41   25.21
31.23   23.86
27.71   25.63
29.40   23.74
28.44   26.02
25.26   26.55
27.11   28.58
23.77   24.59
28.94   20.53
22.66   23.24
22.90   27.83
23.70   22.76
17.11   27.01
30.64   25.26
27.20   28.00
23.87   20.90
30.43   24.59
20.91   22.47
25.88   31.08
25.45   26.73
27.19   27.88
27.17   22.79
23.53   24.02
26.11   24.43
25.69   27.30
28.14   24.42
29.58   26.47
29.63   20.71
23.53   24.26
26.44   23.28
22.45   21.70
22.76   26.06
26.18   25.59
30.93   25.07
23.82   22.21
27.35   27.36
25.50   25.73
29.65   24.37
22.84   25.05
26.30   24.45
27.91   21.34
29.60   24.40
30.97   23.26
26.47   22.95
21.59   22.58
23.91   23.88
22.92   20.81
33.46   27.02
24.30   26.09
28.51   24.96
25.61   24.93
28.94   23.33
23.84   27.13
21.87   24.72
21.81   23.51
27.71   27.83
25.65   24.53
25.59   23.77
